"模块,表名,说明,字段列表"
"RSS&RDP业务,tb_Location,位置信息表，用于设备或出口位置配置,FID(int)；FCode(QString)；FName(QString)；FParentID(int)；FLevel(int)"
",,,"
"ACS,tb_ACS_DeviceModule,ACS设备模块表，定义模块类型和名称,"
"ACS,tb_ACS_DeviceGroup,ACS设备分组表，包含IP、端口、状态地址和坐标等,"
"ACS,tb_ACS_DeviceInfo,ACS设备信息表，包含命令地址、状态地址、报警地址等,"
"ACS,tb_ACS_DeviceAlarm,ACS报警配置表，定义报警类型和名称,"
"ACS,tb_ACS_DeviceAlarmInfo,ACS报警日志表，记录设备ID、报警内容和状态,"
"ACS,tb_ACS_DeviceRunningTime,ACS设备运行时长记录表,"
"ACS,tb_ACS_FruitCategory,ACS水果品类表，定义不同水果类别,"
"ACS,tb_ACS_FruitConfig,ACS水果配置表，针对品类配置ACS相关参数,"
"ACS,tb_ACS_CustomControl,ACS自定义控制点表，记录自定义点名称、地址和单位,"
"ACS,tb_ACS_ServoInfo,ACS伺服配置表，记录伺服电机参数,"
"ACS,tb_ACS_ServoName,ACS伺服名称表，记录伺服点名称和编号,"
",,,"
"RVS本地配置,tb_Sys_Configs,RVS本地SQLite配置表，从App.config导入键值并持久化,"
",,,"
"Patch补丁逻辑,tb_sysconfig_reportweight,用于对tb_Sys_Configs增加报表重量精度相关配置,"
"Patch补丁逻辑,tb_gradeinfo20250901,针对tb_GradeInfo结构的补丁类,"
"Patch补丁逻辑,tb_sys_configs20240719,针对tb_Sys_Configs的历史补丁类,"
"Patch补丁逻辑,tb_sys_configs20240819,针对tb_Sys_Configs的后续补丁类,"
"Patch补丁逻辑,tb_sys_configs20241216,针对tb_Sys_Configs的最新补丁类之一,"
"Patch补丁逻辑,tb_base_fault20250331,针对tb_Base_Fault数据或结构的补丁类,"
"Patch补丁逻辑,tb_sys_config_20250218,针对tb_Sys_Configs某些键的配置补丁类,"
"Patch补丁逻辑,tb_sys_config_FEntype20250219,修正tb_Sys_Configs中FEnType字段的补丁类,"
"Patch补丁逻辑,tb_Sys_Config_SetFValueType_20250219,修正tb_Sys_Configs中FValueType字段值的补丁类,"
"Patch补丁逻辑,tb_Sys_Configs_SetValueTypeDetail,修正tb_Sys_Configs中FValueTypeDetail字段的补丁类,"
"Patch补丁逻辑,tb_sys_configs_fzhtype20250326,修正tb_Sys_Configs中FZhType字段的补丁类,"
"Patch补丁逻辑,tb_sys_configs_isUploadData20250508,增加tb_Sys_Configs中是否上传数据相关配置的补丁类,"
"Patch补丁逻辑,tb_Base_FaultPath,对tb_Base_Fault进行结构或数据修复的补丁类,"
"Patch补丁逻辑,tb_ConfigsColumsExistPath,检测tb_Sys_Configs列是否存在并自动补加的补丁类,"
"Patch补丁逻辑,tb_CustomerPatch,对tb_Customer数据或结构的补丁类,"
"Patch补丁逻辑,tb_RSS_ExitPath,对出口相关表结构或数据的补丁类,"
"Patch补丁逻辑,tb_FaultInfoPath,对tb_FaultInfo结构或数据的补丁类,"
"Patch补丁逻辑,tb_FruitProcessInfoPatch,对tb_FruitProcessInfo及分表结构的补丁类,"
"Patch补丁逻辑,tb_Sys_ConfigsPath_PLC,对tb_Sys_Configs中PLC路径配置的补丁类,"
"Patch补丁逻辑,tb_Sys_FruitInfoPatch,对tb_Sys_FruitInfo结构或数据的补丁类,"
"Patch补丁逻辑,tb_FruitInfoPath,对tb_FruitInfo结构或数据的补丁类,"
"Patch补丁逻辑,tb_GradeInfoColumnExit,检测tb_GradeInfo列是否存在并修复的补丁类,"
"Patch补丁逻辑,tb_PriceInfoPath,对tb_PriceInfo结构或数据的补丁类,"
